City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
444,Kandrian,PG,77.61,light rain,-6.2167,149.55,Kandrian Station
447,Port-Gentil,GA,78.76,light rain,-0.7193,8.7815,Fengshui Residence
451,Humberto De Campos,BR,89.58,broken clouds,-2.5983,-43.4611,Pousada do Cabeça
455,Faanui,PF,79.09,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
458,Yulara,AU,77.25,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
461,Pangai,TO,77.11,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
465,Ambilobe,MG,78.03,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
468,Yaan,NG,85.3,broken clouds,7.3833,8.5667,
469,Maceio,BR,87.24,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
470,Pemangkat,ID,78.64,moderate rain,1.1667,108.9667,Hotel Duyung Permai 2
472,Sur,OM,79.92,clear sky,22.5667,59.5289,Sur Plaza Hotel
474,Umm Kaddadah,SD,81.03,clear sky,13.6017,26.6876,
475,Uchiza,PE,89.67,broken clouds,-8.4592,-76.4633,Hotel San Pedro
479,San Policarpo,PH,79.41,overcast clouds,12.1791,125.5072,Agapita M. Nicart
481,Noumea,NC,75.99,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
482,Balabac,PH,81.68,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
486,Coromandel,BR,80.31,broken clouds,-18.4733,-47.2003,Hotel Dona Adélia
487,Itambacuri,BR,87.19,overcast clouds,-18.0311,-41.685,Pousada Bela
489,Alyangula,AU,82.08,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
492,Finschhafen,PG,79.5,overcast clouds,-6.6024,147.8681,Oasis Gagidu Ltd
499,Bara,NG,84.67,broken clouds,10.3744,10.7288,
500,Sulangan,PH,82.13,overcast clouds,11.1373,123.7228,Maia's Beach Resort
506,Jamame,SO,78.51,broken clouds,0.0722,42.7506,
