City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
114,Delmas,HT,2022-11-09 02:59:50,18.5447,-72.3028,77.72,78,20,4.61
115,Danshui,CN,2022-11-09 03:04:29,22.7984,114.4672,78.13,64,17,3.8
116,Kodiak,US,2022-11-09 03:04:29,57.79,-152.4072,40.51,93,100,17.27
117,Chimore,BO,2022-11-09 03:04:30,-16.9833,-65.1333,76.57,52,81,2.8
118,Luwuk,ID,2022-11-09 03:04:30,-0.9516,122.7875,86.5,66,100,2.8
119,Lompoc,US,2022-11-09 03:04:30,34.6391,-120.4579,52.79,92,20,0.0
120,Jizan,SA,2022-11-09 03:04:31,17.3333,42.6667,82.29,74,0,2.24
121,Kiruna,SE,2022-11-09 03:04:31,67.8557,20.2251,22.12,100,100,3.44
122,Talnakh,RU,2022-11-09 03:04:31,69.4865,88.3972,-16.13,97,52,2.62
123,Cacoal,BR,2022-11-09 03:02:58,-11.4386,-61.4472,76.73,48,42,1.95
124,Coquimbo,CL,2022-11-09 03:04:32,-29.9533,-71.3436,56.93,94,100,6.91
125,Hjortshoj,DK,2022-11-09 03:04:32,56.2481,10.2653,53.35,91,97,13.69
126,Tshikapa,CD,2022-11-09 03:04:33,-6.4167,20.8,68.07,96,99,1.12
127,Tiarei,PF,2022-11-09 03:04:33,-17.5333,-149.3333,82.42,75,98,5.12
128,Yaring,TH,2022-11-09 03:04:33,6.8662,101.3689,82.44,74,93,6.29
129,Eyrarbakki,IS,2022-11-09 03:04:34,63.863,-21.1481,43.21,75,82,12.84
130,Bozhou,CN,2022-11-09 03:04:34,33.8772,115.7703,68.76,50,100,8.25
131,Yulara,AU,2022-11-09 03:04:34,-25.2406,130.9889,94.96,17,0,15.93
132,Lebu,CL,2022-11-09 03:02:59,-37.6167,-73.65,56.05,88,70,7.58
133,Souillac,MU,2022-11-09 03:05:35,-20.5167,57.5167,73.38,73,94,10.4
134,Krasnogorskoye,RU,2022-11-09 03:05:35,52.2953,86.1979,28.98,94,100,4.25
135,Cidreira,BR,2022-11-09 03:05:36,-30.1811,-50.2056,62.37,86,99,9.04
136,Formosa,AR,2022-11-09 03:01:17,-26.1775,-58.1781,63.03,57,100,5.28
137,Drayton Valley,CA,2022-11-09 03:05:36,53.2168,-114.9854,-7.38,99,100,5.21
138,Bilibino,RU,2022-11-09 03:05:37,68.0546,166.4372,-7.83,90,94,3.04
139,Ballina,AU,2022-11-09 03:05:37,-28.8667,153.5667,72.79,64,21,11.97
140,Dunedin,NZ,2022-11-09 03:01:57,-45.8742,170.5036,60.94,67,100,5.84
141,Pemberton,CA,2022-11-09 03:05:37,50.3164,-122.8027,17.28,91,6,3.71
142,Soyo,AO,2022-11-09 03:05:38,-6.1349,12.3689,78.24,84,100,9.33
143,Camacha,PT,2022-11-09 03:05:38,33.0833,-16.3333,63.82,88,20,4.61
144,Mana,GF,2022-11-09 03:05:38,5.6592,-53.7767,76.1,90,100,6.71
145,Fort-Shevchenko,KZ,2022-11-09 03:05:39,44.5086,50.263,44.82,67,100,14.23
146,Kostomuksha,RU,2022-11-09 03:05:39,64.571,30.5767,30.29,98,100,6.31
147,Barrow,US,2022-11-09 03:05:39,71.2906,-156.7887,26.62,86,0,20.71
148,Mahebourg,MU,2022-11-09 03:01:09,-20.4081,57.7,74.25,70,79,11.65
149,Donghai,CN,2022-11-09 03:05:40,22.9459,115.642,78.13,65,9,3.18
150,Port-Cartier,CA,2022-11-09 03:05:40,50.0334,-66.8654,35.74,53,6,21.18
151,Yanam,IN,2022-11-09 03:05:40,16.7333,82.2167,80.26,65,86,6.69
152,Saint Anthony,US,2022-11-09 03:05:41,45.0205,-93.218,46.49,89,100,14.97
153,Valday,RU,2022-11-09 03:05:41,57.9747,33.2525,44.38,95,100,7.29
154,Sidi Ali,DZ,2022-11-09 03:05:41,36.0998,0.4206,64.27,61,100,1.45
155,Vila Velha,BR,2022-11-09 03:05:42,-20.3297,-40.2925,71.94,82,40,6.91
156,Madera,US,2022-11-09 03:03:55,37.1666,-119.8343,50.23,92,100,4.0
157,Galway,IE,2022-11-09 03:00:43,53.2719,-9.0489,50.52,82,98,15.97
158,Ambon,ID,2022-11-09 03:05:42,-3.6954,128.1814,89.74,66,40,6.91
159,Narsaq,GL,2022-11-09 03:05:42,60.9167,-46.05,26.82,70,8,8.12
160,Idaho Falls,US,2022-11-09 03:05:43,43.4666,-112.0341,33.89,90,100,8.05
161,Flinders,AU,2022-11-09 03:05:43,-34.5833,150.8552,74.05,61,43,12.08
162,Katsuura,JP,2022-11-09 03:05:43,35.1333,140.3,63.66,65,100,7.31
163,Thompson,CA,2022-11-09 03:05:44,55.7435,-97.8558,7.75,95,100,7.76
164,Batagay,RU,2022-11-09 03:05:44,67.6333,134.6333,-14.15,95,96,4.0
165,Alofi,NU,2022-11-09 03:05:44,-19.0595,-169.9187,80.49,69,75,13.8
166,Guadalupe Y Calvo,MX,2022-11-09 03:05:44,26.1,-106.9667,47.79,52,26,5.64
167,Warmbad,NA,2022-11-09 03:05:45,-28.45,18.7333,55.22,53,19,5.79
168,Saint-Joseph,RE,2022-11-09 03:02:38,-21.3667,55.6167,75.47,71,32,7.81
169,Khatanga,RU,2022-11-09 03:05:45,71.9667,102.5,-13.81,100,94,6.35
170,Bonfim,BR,2022-11-09 03:05:46,3.0833,-59.95,76.32,87,100,1.88
171,Saint George,US,2022-11-09 03:05:46,37.1041,-113.5841,58.24,80,40,11.5
172,Cayenne,GF,2022-11-09 03:05:46,4.9333,-52.3333,75.24,94,100,0.0
173,Samarai,PG,2022-11-09 03:05:47,-10.6167,150.6667,82.27,77,100,10.31
174,Severnyy,RU,2022-11-09 03:05:47,50.677,36.5532,33.84,100,100,4.47
175,Bosaso,SO,2022-11-09 03:05:47,11.2842,49.1816,79.03,80,4,3.15
176,Shakawe,BW,2022-11-09 03:05:48,-18.3667,21.85,70.27,51,1,4.41
177,Lagoa,PT,2022-11-09 03:05:48,39.05,-27.9833,65.16,75,53,16.91
178,Isangel,VU,2022-11-09 03:05:49,-19.55,169.2667,82.56,73,100,9.35
179,Severo-Kurilsk,RU,2022-11-09 03:05:49,50.6789,156.125,37.18,55,87,11.45
180,Ozark,US,2022-11-09 03:06:49,37.0209,-93.206,66.61,78,88,1.99
181,Oranjemund,NA,2022-11-09 03:06:50,-28.55,16.4333,57.13,91,92,6.13
182,Pochutla,MX,2022-11-09 03:06:50,15.7432,-96.4661,77.83,88,55,3.91
183,Nikolskoye,RU,2022-11-09 03:06:50,59.7035,30.7861,42.8,91,100,4.92
184,Chokurdakh,RU,2022-11-09 03:06:51,70.6333,147.9167,-0.04,97,96,8.72
185,Oranjestad,AW,2022-11-09 03:06:51,12.524,-70.027,79.92,93,100,6.04
186,Magadan,RU,2022-11-09 03:06:51,59.5667,150.8,7.54,80,59,5.35
187,Tura,IN,2022-11-09 03:06:52,25.5198,90.2201,74.53,70,5,1.41
188,Bria,CF,2022-11-09 03:06:52,6.5423,21.9863,68.58,95,64,1.9
189,Price,US,2022-11-09 03:06:52,39.5994,-110.8107,49.26,34,20,8.05
190,Geraldton,AU,2022-11-09 03:06:53,-28.7667,114.6,72.01,49,98,10.36
191,Waipawa,NZ,2022-11-09 03:06:53,-41.4122,175.5153,65.62,59,15,11.54
192,Ranir Bazar,IN,2022-11-09 03:06:53,23.8333,91.3667,78.71,78,4,0.0
193,Taltal,CL,2022-11-09 03:06:54,-25.4,-70.4833,59.67,82,76,1.79
194,Tigre,AR,2022-11-09 03:06:54,-34.426,-58.5796,69.8,61,4,1.99
195,Ziarat,PK,2022-11-09 03:06:54,30.3823,67.7282,44.06,59,0,3.13
196,Sur,OM,2022-11-09 03:06:55,22.5667,59.5289,82.22,50,29,4.72
197,Kutum,SD,2022-11-09 03:04:24,14.2,24.6667,62.91,25,4,6.15
198,Saint-Georges,GD,2022-11-09 03:06:55,12.0564,-61.7485,80.28,83,20,11.5
199,Nizhnevartovsk,RU,2022-11-09 03:06:55,60.9344,76.5531,28.42,100,75,7.0
200,Mount Isa,AU,2022-11-09 03:06:56,-20.7333,139.5,103.77,16,40,14.97
201,Airai,TL,2022-11-09 03:06:56,-8.9266,125.4092,76.55,53,59,1.5
202,Talcahuano,CL,2022-11-09 03:06:56,-36.7167,-73.1167,56.88,88,75,9.22
203,Saint-Louis,SN,2022-11-09 03:06:57,16.3333,-15.0,81.43,27,100,8.77
204,Kilindoni,TZ,2022-11-09 03:06:57,-7.9139,39.6668,78.08,81,12,9.48
205,Ponta Do Sol,PT,2022-11-09 03:06:57,32.6667,-17.1,70.72,83,40,5.99
206,Buzovna,AZ,2022-11-09 03:06:58,40.5179,50.1139,51.89,82,0,4.61
207,Marystown,CA,2022-11-09 03:06:58,47.1666,-55.1483,36.86,100,94,10.0
208,Anahuac,MX,2022-11-09 03:06:59,27.2333,-100.15,76.73,62,30,16.17
209,Chitipa,MW,2022-11-09 03:06:59,-9.7024,33.2697,64.38,65,95,4.34
210,Tigil,RU,2022-11-09 03:06:59,57.8,158.6667,24.44,94,100,11.39
211,Grand Gaube,MU,2022-11-09 03:06:59,-20.0064,57.6608,74.37,71,81,1.99
212,Pangnirtung,CA,2022-11-09 03:07:00,66.1451,-65.7125,10.22,69,100,2.53
213,Pisco,PE,2022-11-09 03:07:00,-13.7,-76.2167,62.65,88,2,9.22
214,Faanui,PF,2022-11-09 03:07:00,-16.4833,-151.75,78.96,70,93,11.07
215,Oytal,KZ,2022-11-09 03:07:01,42.9057,73.2697,33.69,75,55,3.22
216,Palu,ID,2022-11-09 03:07:01,-0.8917,119.8707,89.46,60,96,3.83
217,Tselinnoye,RU,2022-11-09 03:07:02,53.0833,85.6667,28.72,89,100,6.78
218,New Norfolk,AU,2022-11-09 03:07:02,-42.7826,147.0587,81.88,32,99,1.99
219,Gibara,CU,2022-11-09 03:07:02,21.1097,-76.1317,74.52,85,27,8.28
220,Araouane,ML,2022-11-09 03:07:03,18.9048,-3.5265,72.64,13,35,8.84
221,Henties Bay,NA,2022-11-09 03:07:03,-22.116,14.2845,59.22,92,6,3.83
222,Kashi,CN,2022-11-09 03:07:04,39.4547,75.9797,47.52,34,100,8.57
223,Payakumbuh,ID,2022-11-09 03:07:04,-0.2202,100.6308,72.63,94,100,0.04
224,Gwadar,PK,2022-11-09 03:07:05,25.1216,62.3254,79.18,67,4,5.23
225,Castro,BR,2022-11-09 03:07:05,-24.7911,-50.0119,57.45,70,72,1.34
226,Itapirapua,BR,2022-11-09 03:07:06,-15.8233,-50.6133,73.29,75,6,2.3
227,Ngunguru,NZ,2022-11-09 03:08:06,-35.6167,174.5,63.9,81,51,5.1
228,Ukiah,US,2022-11-09 03:08:06,39.1502,-123.2078,46.44,94,75,0.0
229,Bailesti,RO,2022-11-09 03:08:07,44.0167,23.35,49.44,83,0,3.91
230,Umm Lajj,SA,2022-11-09 03:08:07,25.0213,37.2685,71.62,56,100,7.14
231,Bathsheba,BB,2022-11-09 03:08:08,13.2167,-59.5167,83.01,83,40,26.46
232,Kaitangata,NZ,2022-11-09 03:08:08,-46.2817,169.8464,60.35,66,91,13.62
233,Balvi,LV,2022-11-09 03:08:08,57.1313,27.2658,48.83,93,100,9.4
234,Raton,US,2022-11-09 03:08:09,36.9034,-104.4391,57.54,93,0,9.22
235,Bairiki,KI,2022-11-09 03:08:09,1.3292,172.9752,86.0,70,20,8.05
236,Sibolga,ID,2022-11-09 03:08:10,1.7427,98.7792,79.88,81,100,1.72
237,Beaufort,MY,2022-11-09 03:08:10,5.3473,115.7455,87.31,64,100,3.42
238,Muros,ES,2022-11-09 03:08:11,42.7762,-9.0603,55.09,94,100,9.13
239,Murmansk,RU,2022-11-09 03:08:11,68.0,34.0,25.86,98,90,1.21
240,Victoria,HK,2022-11-09 03:05:19,22.2855,114.1577,80.04,70,45,7.0
241,Cuamba,MZ,2022-11-09 03:08:12,-14.8031,36.5372,70.68,55,74,4.74
242,Jiwani,PK,2022-11-09 03:08:12,25.05,61.7417,78.58,71,2,1.32
243,Lata,PT,2022-11-09 03:08:12,40.1629,-8.3327,57.07,94,100,2.68
244,Zhumadian,CN,2022-11-09 03:08:13,32.9794,114.0294,68.25,49,52,4.52
245,Zacualpan,MX,2022-11-09 03:08:13,21.25,-105.1667,76.77,84,94,4.72
246,Klaksvik,FO,2022-11-09 03:08:13,62.2266,-6.589,49.12,87,75,13.98
247,Puerto Gaitan,CO,2022-11-09 03:08:14,4.3133,-72.0816,77.54,85,79,3.8
248,Tual,ID,2022-11-09 03:08:14,-5.6667,132.75,84.09,74,82,10.56
249,Zharkent,KZ,2022-11-09 03:08:15,44.1628,80.0,39.02,63,100,9.82
250,Belmonte,BR,2022-11-09 03:08:15,-15.8631,-38.8828,72.63,85,100,5.19
251,Sitka,US,2022-11-09 03:08:16,57.0531,-135.33,35.49,55,100,5.75
252,Saldanha,ZA,2022-11-09 03:08:16,-33.0117,17.9442,60.4,69,73,5.82
253,Kruisfontein,ZA,2022-11-09 03:08:16,-34.0033,24.7314,62.89,82,100,8.5
254,Tiksi,RU,2022-11-09 03:08:17,71.6872,128.8694,-10.43,97,100,9.37
255,Lahan,NP,2022-11-09 03:08:17,26.7296,86.4951,76.01,60,7,1.81
256,Kuytun,RU,2022-11-09 03:08:17,54.3419,101.5036,23.72,78,95,5.61
257,Pahrump,US,2022-11-09 03:03:48,36.2083,-115.9839,50.25,83,78,8.99
258,Mae Hong Son,TH,2022-11-09 03:08:18,19.3003,97.9685,82.49,50,36,1.36
259,Berlevag,NO,2022-11-09 03:08:19,70.8578,29.0864,33.75,93,100,4.61
260,San Quintin,MX,2022-11-09 03:08:19,30.4833,-115.95,64.22,87,28,5.84
261,Kyshtovka,RU,2022-11-09 03:08:19,56.555,76.6271,19.78,95,93,7.7
262,Hoa Binh,VN,2022-11-09 03:08:20,20.8133,105.3383,80.64,53,3,1.99
263,Vao,NC,2022-11-09 03:08:20,-22.6667,167.4833,74.8,84,88,13.2
264,Saurimo,AO,2022-11-09 03:08:21,-9.6608,20.3916,61.7,97,98,2.46
