City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
127,Torbay,CA,47.6666,-52.7314,38.75,70,75,32.21,broken clouds
128,Fairbanks,US,64.8378,-147.7164,21.16,90,75,0.0,broken clouds
129,Villamontes,BO,-21.25,-63.5,101.64,21,5,17.27,clear sky
130,Port Macquarie,AU,-31.4333,152.9167,57.88,79,21,3.76,few clouds
131,Acapulco,MX,16.8634,-99.8901,84.02,74,0,9.22,clear sky
132,Nova Olinda Do Norte,BR,-3.8881,-59.0942,93.65,43,90,3.74,overcast clouds
133,Indiana,US,40.0003,-86.2503,65.97,35,100,4.61,overcast clouds
134,Grindavik,IS,63.8424,-22.4338,41.47,87,0,5.75,clear sky
135,Pakokku,MM,21.3333,95.1,73.74,69,0,1.45,clear sky
136,Hithadhoo,MV,-0.6,73.0833,81.91,76,93,15.79,overcast clouds
137,Zhoucheng,CN,35.9122,116.3117,59.02,67,99,4.94,moderate rain
138,Bathsheba,BB,13.2167,-59.5167,81.57,79,99,17.4,overcast clouds
139,Hobart,AU,-42.8794,147.3294,62.46,63,92,14.97,overcast clouds
140,Isangel,VU,-19.55,169.2667,76.26,89,12,6.8,few clouds
141,Kaina,NG,12.6374,8.5873,83.88,19,4,4.14,clear sky
142,Bairiki,KI,1.3292,172.9752,80.6,78,40,11.5,scattered clouds
143,Avera,US,33.194,-82.5271,62.11,51,100,17.43,overcast clouds
144,Beloha,MG,-25.1667,45.05,79.14,59,72,5.66,broken clouds
145,Banda Aceh,ID,5.5577,95.3222,78.96,83,90,5.73,overcast clouds
146,Jiamusi,CN,46.8333,130.35,30.97,46,52,6.93,broken clouds
147,Katunino,RU,64.3862,40.6298,31.89,99,100,2.59,light snow
148,Killybegs,IE,54.6333,-8.45,51.51,84,99,20.18,overcast clouds
149,Beringovskiy,RU,63.05,179.3167,17.91,92,100,5.48,overcast clouds
150,Hilo,US,19.7297,-155.09,69.62,90,100,8.05,light rain
151,Cidreira,BR,-30.1811,-50.2056,67.08,78,58,10.6,broken clouds
152,Luanda,AO,-8.8368,13.2343,78.1,76,17,15.88,few clouds
153,Viedma,AR,-40.8135,-62.9967,86.99,22,100,17.2,overcast clouds
154,Mahebourg,MU,-20.4081,57.7,73.69,78,20,2.3,few clouds
155,Codrington,AU,-38.2667,141.9667,72.1,49,100,17.16,light rain
156,Carnarvon,AU,-24.8667,113.6333,66.16,71,24,13.44,few clouds
157,Cumpas,MX,29.9833,-109.7833,68.47,56,38,8.21,scattered clouds
158,Hidalgotitlan,MX,17.7833,-94.6333,73.42,78,6,4.83,moderate rain
159,Prince Albert,CA,53.2001,-105.7677,-0.47,95,24,3.58,few clouds
160,Ilulissat,GL,69.2167,-51.1,-9.69,77,14,5.55,few clouds
161,Agadez,NE,19.75,10.25,73.29,18,1,8.34,clear sky
162,Sena Madureira,BR,-9.0656,-68.6569,104.07,23,16,2.13,few clouds
163,Geraldton,AU,-28.7667,114.6,54.01,87,2,4.61,clear sky
164,Tasiilaq,GL,65.6145,-37.6368,32.16,75,99,6.22,overcast clouds
